video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Euqo5QNkmJM&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@inlandnewspapers,inlandnewspapers,Hinkley: Roberta Walker's research brought Erin Brockovich to town,4.7K,10 years,"Roberta Walker, Hinkley Interview.",2024-01-27 23:54:41.698424
/watch?v=dt3Lhuo_0Ao&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@fan4officespace,fan4officespace,36 Erin Brockovich Secventa discutiei cu fostul angajat din Hinkley,62K,14 years,Secventa 36 pentru exercitiul de identificare a tipului de vanzare din training.,2024-01-27 23:54:41.700204
/shorts/6TNaL2Xc8i0,/@DIHUpodcast,Does It Hold Up?,Did you know in ERIN BROCKOVICH? #shorts,29K,9 months,The real people appear in the movie. #erinbrockovich #juliaroberts #lawyer #waitress #truestory #julia #edmasry #trending #viral ...,2024-01-27 23:54:41.704867
/watch?v=4fF2qQatiFs&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@HappinessTravelz,Happiness Travelz,"ABANDONED HINKLEY, CA (ERIN BROCKOVICH) / FULLTIME RV LIVING / BORAX VISITOR CENTER / VLOG",1.4K,2 years,"HTDV 2 - WE VISIT AN ABANDONED COMMUNITY (LOST PART OF THE VIDEO FILE), THEN VISIT THE BORAX VISITER ...",2024-01-27 23:54:41.707217
/watch?v=8Kx0qYRv8XQ&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@MOVIECLIPS,Movieclips,Erin Brockovich (8/10) Movie CLIP - The Whole Thing's Falling Apart (2000) HD,862K,12 years,"CLIP DESCRIPTION: Feeling that Ed (Albert Finney) is trying to finish the case without her, Erin (Julia Roberts) gives him a piece ...",2024-01-27 23:54:41.713953
/watch?v=5Jdk3riKKwo&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@MOVIECLIPS,Movieclips,Erin Brockovich (4/10) Movie CLIP - I Thought We Were Negotiating Here? (2000) HD,2.7M,12 years,CLIP DESCRIPTION: Ed (Albert Finney) mocks a PG&E lawyer (Michael Shamberg) when he presents an offensive offer and ...,2024-01-27 23:54:49.364049
/watch?v=IzSZImSi2CY&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@brenthollandshow,brenthollandshow,Erin Brockovich movie Julia Roberts Hinkley Steven Soderbergh Brent Holland Show,1.7K,9 years,"""Erin Brockovich"" ""Hinkley California"" ""water contamination"" ""environment"" ""Julia Roberts"" ""Chromium(VI)"" ""tainted"" ""Pacific Gas ...",2024-01-27 23:54:49.372591
/watch?v=X1C8uh-rcKM&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@richroll,Rich Roll,The DIRE Condition of America’s Public Water With Erin Brockovich | Rich Roll Podcast,43K,3 years,Erin Brockovich is one of the most famous names in environmental activism best known for going head to head with PG&E over ...,2024-01-27 23:54:49.375185
/watch?v=tadJai_SC4I&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@PBSNewsHour,PBS NewsHour,Protecting Americans From Danger in the Drinking Water,62K,10 years,"The town of Hinkley, Calif., had a Hollywood moment when its battle with chromium-6 tainted water was made into the film ""Erin ...",2024-01-27 23:54:49.378320
/watch?v=GwtHJQwz9Y0&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@AcademyofSocialCompetency,Academy of Social Competency,"Effective Listening Skills: Building Rapport - Erin Brockovich, 2000",50K,5 years,Effective Listening Skills: Building Rapport Effective listening skills are the basics of building successful relationships with people.,2024-01-27 23:54:49.381107
/watch?v=6cQjqwseg7I&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@findanswerswjosiahdavis7951,FIND ANSWERS! w/ Josiah Davis,How accurate was the movie Erin Brockovich?,6,7 months,Discover the Truth Behind Erin Brockovich: Was the Movie Accurate? Find out in this captivating video as we delve into the ...,2024-01-27 23:54:49.387928
/watch?v=_68fW_hwMdc&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@gunnargetscher,gunnargetscher,Erin Brockovich CAMEO,276K,11 years,Cameo appearance of the real Erin Brockovich as a waitress smiling at Julia Roberts impersonating her.,2024-01-27 23:54:49.389684
