video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=GDEA8FdlIfc&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@abc10news,ABC 10 News,Erin Brockovich investigating toxic plume,451,7 years,"El Cajon residents say they're being poisoned ◂ San Diego's News Source - 10News, KGTV, delivers the latest breaking news, ...",2024-01-27 23:52:16.223209
/watch?v=6qgYQ4xyl8A&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@AmericanCancerSociety,American Cancer Society,Cole Eicher's Story: American Cancer Society Relay For Life,44K,8 years,Brain cancer survivor Cole Eicher shares his story.,2024-01-27 23:52:16.224484
/watch?v=eTtJo6vctps&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@Targetedonc,Targeted Oncology,Dr. O'Reilly Discusses New Developments in Pancreatic Cancer Care,113,6 years,"Eileen O'Reilly, MD, associate director for clinical research at Memorial Sloan Kettering Cancer Center, discusses new ...",2024-01-27 23:52:16.225423
/watch?v=sa5X97OQLHs&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@YaleCourses,YaleCourses,6.1 - Cancer: Introduction,4.4K,8 years,"""Evolutionary Medicine"" Sinauer Associates (2015) is the textbook that supports these lectures. Instructors can request ...",2024-01-27 23:52:16.226725
/watch?v=Brqqr2ewc5c&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@AACRNews,American Association for Cancer Research,A Chance Discovery of Kidney Cancer,4.2K,8 years,U.S. Rep. Tom Marino of Pennsylvania discusses his experiences after his 1999 cancer diagnosis. Learn more: http://www.,2024-01-27 23:52:16.227592
/watch?v=hnx5KVRsqJ4&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@TODAY,TODAY,Maria Menounos opens up about pancreatic cancer diagnosis,1.5M,8 months,Entertainment journalist Maria Menounos is cancer free after being diagnosed with stage 2 pancreatic cancer earlier this year.,2024-01-27 23:52:16.228620
/watch?v=Xd0YIOMhqhg&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@LadyMorgan33,Lorie Morgan Baker,"Cherry Jones in ""Erin Brockovich""",302K,14 years,Cherry Jones plays Pamela Duncan in the 2000 film Erin Brockovich.,2024-01-27 23:52:16.229472
/watch?v=yo0Rw8jTz4Y&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@CancerInterviews,Cancer Interviews,"Rob Caruano  Pancreatic Cancer Survivor  New York, New York  USA",53,7 hours,"Rob Capuano woke up one night with a severe pain in his stomach. He wanted to be seen at an urgent care, but due to COVID, ...",2024-01-27 23:52:16.230334
/watch?v=Dlcqa1T0ymQ&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@EnergyLiveNews,Energy Live News,ELN - Inside Hinkley Point B nuclear power station | Energy Live News | Energy Live News,11K,12 years,ELN - Inside Hinkley Point B nuclear power station NUCLEAR.,2024-01-27 23:52:16.231242
/watch?v=5ySZ30b1dJo&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@walterreinke7217,Walter Reinke,"PG&E Water Contamination in Hinkley, California",9.4K,5 years,"Video created by Walter R, Josh F, and Thomas P.",2024-01-27 23:52:23.469779
/watch?v=Mc2smYtxxro&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@CBSNews,CBS News,Katie Couric's Notebook: Pancreatic Cancer (CBS News),10K,16 years,"Katie Couric lost a sister to pancreatic cancer. But today, a new procedure offers hope for early detection, and therefore better ...",2024-01-27 23:52:23.470869
/watch?v=7MRyY5mYQFY&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@OncLiveTV,OncLiveTV,Pancreas Cancer: Case Scenarios and Personal Approaches,117,5 years,"John L. Marshall, MD; George P. Kim, MD; Eileen M. O'Reilly, MD; Tanios S. Bekaii-Saab, MD; and Kabir Mody, MD, evaluate ...",2024-01-27 23:52:23.471696
/watch?v=HD6p882T0hI&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@medicalcollegeofwi,Medical College of Wisconsin,Multidisciplinary Pancreatic Cancer Program Part Two,216,6 years,"Douglas B. Evans, MD discusses the multidisciplinary Pancreatic Cancer Program at the Medical College of Wisconsin with Parag ...",2024-01-27 23:52:23.473039
